,Exp. m/z,Abundance
1762,491.15955,2158240
1763,491.1924,4109997
1764,492.01389000000006,2649071
1765,492.04197,2709499
1766,492.05006,8290302
1767,492.07833,3267593
1770,492.15910999999994,2843688
1780,493.07795999999996,2029969
1781,493.08127,2068882
1788,493.57372000000004,2060371
1789,494.02925999999997,6245125
1790,494.05753,2575120
1793,494.09423,2507550
1794,494.10225,5708577
1797,494.98745,2062458
1799,495.02055,6857863
1806,495.07173,3805339
1809,495.09653,2574501
1810,495.10824,2503849
1814,495.18724000000003,6212808
1815,496.04501,6051350
1816,496.0732,2109984
1819,496.15414000000004,3226176
1820,496.1908,2062926
1822,497.00336,3309449
1829,497.07614,3158949
1830,497.08739,3343274
1832,497.10908,3975090
1833,497.11237,3448755
1834,497.12382,2233272
1837,497.14879,3505089
1845,499.00933,2396815
1847,499.01889000000006,4203155
1849,499.04568,3435165
1853,499.08219,2651819
1855,499.09169,4079279
1858,499.12807999999995,3529405
1860,499.16069000000005,2427593
1861,499.16433,3141323
1864,500.04706,3354654
1865,500.05518,4871201
1866,500.07614,3026985
1867,500.08347000000003,2222636
1871,501.02497999999997,3431828
1873,501.03500999999994,3568024
1877,501.0714,3144102
1880,501.10752,3405235
1883,501.14378,3037633
1885,502.02640999999994,2188050
1887,502.06282999999996,4359968
1889,502.09935,2247469
1890,502.10715999999996,3883824
1891,503.00426,2649221
1893,503.04042999999996,5613715
1895,503.05059000000006,3399831
1897,503.07689000000005,2530465
1900,503.12305999999995,2523314
1902,503.1596,2561216
1904,503.1956,2249934
1907,504.04195999999996,3441166
1908,504.05014000000006,8139281
1909,504.07858,3534364
1913,505.00843,2183034
1914,505.01957999999996,3798910
1915,505.026,26661760
1916,505.0299,2390914
1917,505.04422999999997,2536328
1918,505.05602000000005,5809036
1922,505.10260999999997,2788254
1926,506.02935999999994,5283066
1927,506.05744000000004,2792196
1929,506.094,2677010
1930,506.10215999999997,5088533
1932,506.17532,2857264
1933,506.99762000000004,2424420
1936,507.02380999999997,2925678
1937,507.03517999999997,4777586
1940,507.0601,2735739
1943,507.09304000000003,2351751
1947,507.11852999999996,2057873
1951,508.07322,2916340
1954,508.15413,2836498
1957,509.0031,2730317
1958,509.01302999999996,2297681
1961,509.03974000000005,3531099
1962,509.05069000000003,4055391
1965,509.07603,2657128
1966,509.08714000000003,2959724
1972,510.02442,2662086
1974,510.05310999999995,2105041
1977,510.08901,2426590
1978,510.09707000000003,4496097
1981,511.00897000000003,2189872
1983,511.01905,4248628
1984,511.02892,2220343
1987,511.05543,3095617
1988,511.06620999999996,3235909
1990,511.08182,2439243
1992,511.09175999999997,2670158
1993,511.1093,13282389
1995,511.12798,2732124
1999,512.04005,2910633
2000,512.04749,2656684
2001,512.05531,3397039
2002,512.0763,3960246
2003,512.08355,2392505
2004,512.11263,3076548
2005,512.14953,2239953
2008,513.02452,2121487
2010,513.03479,3225363
2011,513.04582,2318103
2013,513.06092,2777885
2015,513.07116,3673888
2018,513.1073299999999,3668781
2021,513.14364,3664699
2025,514.02637,2392698
2028,514.06258,3839111
2031,514.10707,2286231
2032,515.00391,2418139
2034,515.01411,2870750
2036,515.03998,4154856
2039,515.0767599999999,2790901
2041,515.08683,3350008
2044,515.12297,2533893
2046,515.15581,5116433
2047,515.15937,2563602
2050,516.04211,2981711
2051,516.05012,6789970
2052,516.07103,2214233
2053,516.07842,3586908
2055,516.1152400000001,2157417
2058,517.0192900000001,2915499
2060,517.0300599999999,2210991
2061,517.05577,4226232
2064,517.09162,2159813
2066,517.1288599999999,2431186
2067,517.1320900000001,2411731
2069,517.13871,2648278
2072,518.03179,2032146
2073,518.0576599999999,3495451
2075,518.09424,2506280
2078,518.99779,2345831
2080,519.02068,2141039
2081,519.0241900000001,2053488
2082,519.035,4077428
2084,519.07147,3630977
2086,519.09499,2333577
2087,519.10758,2162573
2091,519.19054,2052523
2092,520.03701,2077907
2093,520.0450099999999,7262422
2094,520.07334,3815648
2098,521.01372,2446376
2101,521.0395,2638897
2102,521.05037,5052981
2105,521.07604,3012157
2106,521.08701,2898497
2108,521.12328,2170446
2112,522.02437,2857862
2113,522.05283,2605968
2115,522.0892200000001,2042268
2119,522.99995,3246294
2120,523.01551,5407963
2121,523.01895,2813148
2122,523.02977,3027168
2124,523.04531,2046181
2126,523.05545,3200233
2127,523.06621,3682541
2130,523.09181,2576629
2131,523.10234,2204921
2134,523.18222,6178069
2143,525.03472,3184524
2144,525.04503,2206607
2146,525.06073,2164629
2148,525.08169,2538396
2150,525.10395,5392291
2151,525.10738,2447268
2153,525.14341,2542001
2158,526.0626,2575591
2160,526.08421,2011374
2163,527.0140700000001,3105318
2165,527.03989,3632687
2167,527.0502700000001,3445298
2168,527.0609900000001,2605622
2170,527.0763599999999,2504251
2172,527.0866599999999,2339390
2175,527.12307,2227787
2178,527.15936,2408023
2179,527.17706,3642973
2181,528.04223,2902909
2182,528.05022,5012351
2183,528.08275,2368394
2186,529.0190200000001,3579072
2189,529.05542,3615948
2192,529.09204,2208984
2194,529.1024,3000539
2199,529.17514,2418931
2201,530.0576900000001,3674645
2203,530.09433,2185761
2204,530.10215,3540515
2207,531.0346599999999,3062611
2209,531.0455400000001,2874199
2210,531.06287,2926428
2211,531.0708900000001,3581791
2213,531.0991700000001,2039656
2215,531.1180400000001,2944878
2217,531.15431,2267002
2219,532.0374099999999,2024855
2220,532.04502,6441114
2221,532.0735,3271843
2225,533.03588,3089880
2226,533.05018,3830236
2228,533.07241,2201059
2229,533.08663,2626024
2234,534.02444,3523347
2235,534.05263,2663196
2237,534.08912,3604263
2238,534.09729,4365098
2242,535.0189,2297933
2243,535.02956,3100752
2246,535.05579,2071640
2247,535.06588,3578971
2253,535.21841,2753675
2254,536.04005,4713869
2255,536.06854,2229653
2258,536.14913,2429359
2259,536.99838,2079670
2260,537.00827,2202297
2263,537.03441,3250881
2264,537.0452700000001,2646213
2266,537.06751,5746380
2267,537.0709400000001,3107533
2268,537.08155,3350224
2271,537.1075599999999,2362072
2272,537.1177,2598619
2278,538.07051,2373632
2279,538.0841,2040836
2280,538.09201,5283847
2281,538.12853,3255314
2283,539.01404,2413856
2284,539.0241900000001,2022691
2286,539.03372,2222374
2288,539.0502700000001,3094827
2289,539.06056,2816302
2292,539.08677,2019638
2293,539.09675,2068793
2298,539.21361,2146653
2299,540.04201,2183255
2300,540.05012,3672665
