,Exp. m/z,Theor. Mass,Error,Abundance,Signal2Noise,DBE,Cno,Hno,Nno,Ono,Sno,13Cno,18Ono,Formula,HeteroClass
213,492.08657999999997,492.08657999999997,0,6748172,0,13.0,21,20,0,13,0,1,0,13C1 12C21 H20 O13,O13
214,492.12280999999996,492.12280999999996,0,3398682,0,12.0,22,24,0,12,0,1,0,13C1 12C22 H24 O12,O12
215,494.0595,494.0595,0,2199312,0,22.0,27,14,0,9,0,1,0,13C1 12C27 H14 O9,O9
216,494.06577000000004,494.06577000000004,0,9143059,0,13.0,20,18,0,14,0,1,0,13C1 12C20 H18 O14,O14
217,494.13852,494.13852,0,3601199,0,11.0,22,26,0,12,0,1,0,13C1 12C22 H26 O12,O12
218,494.17463,494.17463,0,2116413,0,10.0,23,30,0,11,0,1,0,13C1 12C23 H30 O11,O11
219,496.08142999999995,496.08142999999995,0,6772260,0,12.0,20,20,0,14,0,1,0,13C1 12C20 H20 O14,O14
220,496.11771,496.11771,0,4734514,0,11.0,21,24,0,13,0,1,0,13C1 12C21 H24 O13,O13
221,498.03963,498.03963,0,3174682,0,17.0,22,14,0,13,0,1,0,13C1 12C22 H14 O13,O13
222,498.06060999999994,498.06060999999994,0,5685538,0,12.0,19,18,0,15,0,1,0,13C1 12C19 H18 O15,O15
223,498.09697,498.09697,0,4392240,0,11.0,20,22,0,14,0,1,0,13C1 12C20 H22 O14,O14
224,498.1333,498.1333,0,2281278,0,10.0,21,26,0,13,0,1,0,13C1 12C21 H26 O13,O13
225,500.01881,500.01881,0,3779603,0,17.0,21,12,0,14,0,1,0,13C1 12C21 H12 O14,O14
226,500.09144000000003,500.09144000000003,0,3189807,0,15.0,23,20,0,12,0,1,0,13C1 12C23 H20 O12,O12
227,500.11245999999994,500.11245999999994,0,2647095,0,10.0,20,24,0,14,0,1,0,13C1 12C20 H24 O14,O14
228,502.03452000000004,502.03452000000004,0,6545173,0,16.0,21,14,0,14,0,1,0,13C1 12C21 H14 O14,O14
229,502.07095999999996,502.07095999999996,0,6879011,0,15.0,22,18,0,13,0,1,0,13C1 12C22 H18 O13,O13
230,504.0137,504.0137,0,4026883,0,16.0,20,12,0,15,0,1,0,13C1 12C20 H12 O15,O15
231,504.08651,504.08651,0,5923359,0,14.0,22,20,0,13,0,1,0,13C1 12C22 H20 O13,O13
232,504.12284000000005,504.12284000000005,0,2662956,0,13.0,23,24,0,12,0,1,0,13C1 12C23 H24 O12,O12
233,506.06577999999996,506.06577999999996,0,8881415,0,14.0,21,18,0,14,0,1,0,13C1 12C21 H18 O14,O14
234,506.13847000000004,506.13847000000004,0,3221795,0,12.0,23,26,0,12,0,1,0,13C1 12C23 H26 O12,O12
235,508.04489,508.04489,0,6354922,0,14.0,20,16,0,15,0,1,0,13C1 12C20 H16 O15,O15
236,508.08142000000004,508.08142000000004,0,6918136,0,13.0,21,20,0,14,0,1,0,13C1 12C21 H20 O14,O14
237,508.11792,508.11792,0,4429829,0,12.0,22,24,0,13,0,1,0,13C1 12C22 H24 O13,O13
