,Exp. m/z,Theor. Mass,Error,Abundance,DBE,Cno,Hno,Nno,Ono,Sno,Formula,HeteroClass
238,343.08227999999997,343.08232857990004,-0.14159837455985805,2708087,11.0,18,16,0,7,0,C18H16O7,O7
239,343.10344,343.1034585799,-0.054152470820558865,12797567,6.0,15,20,0,9,0,C15H20O9,O9
240,343.1398,343.1398435799,-0.12700332193500513,3756684,5.0,16,24,0,8,0,C16H24O8,O8
241,345.02513,345.02520857990004,-0.22775118482401657,6367546,12.0,16,10,0,9,0,C16H10O9,O9
242,345.04629,345.04633857989995,-0.14079239372131128,5550401,7.0,13,14,0,11,0,C13H14O11,O11
243,345.06157,345.0615935799,-0.06833533606299093,6572359,11.0,17,14,0,8,0,C17H14O8,O8
244,345.08265,345.0827235799,-0.2132239459590606,6418766,6.0,14,18,0,10,0,C14H18O10,O10
245,345.09803,345.09797857990003,0.1490014522142765,3777876,10.0,18,18,0,7,0,C18H18O7,O7
246,345.11904,345.1191085799,-0.19871371451677416,3649371,5.0,15,22,0,9,0,C15H22O9,O9
247,347.0045,347.0044735799,0.07613763521596767,2979845,12.0,15,8,0,10,0,C15H8O10,O10
248,347.04081,347.0408585799,-0.1399832289264968,12573714,11.0,16,12,0,9,0,C16H12O9,O9
249,347.07725,347.07724357989997,0.018497611526377945,8889375,10.0,17,16,0,8,0,C17H16O8,O8
250,347.11364,347.11362857989997,0.03290017754556281,5199917,9.0,18,20,0,7,0,C18H20O7,O7
251,347.14992,347.15001357989996,-0.26956617108693437,2179130,8.0,19,24,0,6,0,C19H24O6,O6
252,349.02013,349.02012357990003,0.01839464125647727,10841818,11.0,15,10,0,10,0,C15H10O10,O10
253,349.05653,349.05650857989997,0.06136570874298991,16551655,10.0,16,14,0,9,0,C16H14O9,O9
254,349.09286000000003,349.09289357989996,-0.09619187486204259,11185908,9.0,17,18,0,8,0,C17H18O8,O8
255,349.12925,349.12927857989996,-0.08186050755565383,7264001,8.0,18,22,0,7,0,C18H22O7,O7
256,349.16573999999997,349.16566357989996,0.21886487700901036,2248974,7.0,19,26,0,6,0,C19H26O6,O6
257,350.99936,350.99938857989997,-0.08142435820962711,4252062,11.0,14,8,0,11,0,C14H8O11,O11
258,351.03576,351.03577357989997,-0.03868523098507019,18821546,10.0,15,12,0,10,0,C15H12O10,O10
259,351.07212999999996,351.07215857989996,-0.08140748078554579,18284984,9.0,16,16,0,9,0,C16H16O9,O9
