m/z	I
457.13517	9021710
457.15034	3781908
457.15377	3049749
457.17153	3113245
458.00828	2536048
458.03644	3291771
458.04466	4663935
458.06567	3527303
458.08104	3089037
458.10201	2865814
458.98408	3444732
459.01545	3685385
459.02055	23981066
459.02416	3870732
459.04156	6136851
459.05175	4110359
459.05691	32001050
459.06065	3498011
459.07801	7193634
459.08843	2752550
459.09331	15219752
459.09674	3716138
459.11437	5798961
459.12966	7631927
459.13313	4535353
459.15089	4244544
459.16601	4186182
460.02395	4746658
460.0521	4431278
460.06021	7093681
460.08862	2095548
460.13295	2430414
460.99973	8814382
461.03103	5093179
461.03616	36228924
461.05736	2758470
461.06748	4616010
461.07255	32837452
461.07609	3459917
461.10394	2656089
461.10894	16174939
461.11238	4302684
461.14537	8968042
461.14891	3932011
461.18175	4644728
462.03146	2972882
462.03958	8728789
462.06778	4640993
462.0759	7215332
462.10427	2227951
462.1122	3171570
462.14878	2749697
462.99772	2512986
463.01036	2977888
463.01545	21099106
463.03085	2265704
463.03393	2767465
463.04669	6599278
463.05182	47698544
463.08311	3313277
463.08819	30126720
463.09197	2886273
463.11928	2296460
463.12457	14705294
463.12817	3470991
463.16095	8997533
463.19731	3237547
464.01864	4903929
464.04715	3412997
464.05513	10195976
464.08364	3075092
464.0915	5663767
464.11976	2229282
464.12789	3310630
464.16413	2309685
464.99483	3936646
465.00987	3062156
465.01321	2629006
465.02589	6049171
465.03112	36033940
465.04621	3765659
465.04967	2646428
465.06233	5801378
465.06746	41817508
465.08289	2696106
465.09858	3855792
465.10385	23008690
465.10765	2250164
465.13517	2030015
465.14021	16111041
465.17663	7929296
465.21301	2452959
465.30435	10036740
466.02647	2328362
466.03442	7305005
466.06295	3310392
466.07084	9484091
466.09926	2048839
466.10715	5594954
466.14361	3723097
466.17995	2431848
466.30781	3225500
466.99269	3322034
467.01036	10492089
467.02557	6848704
467.02908	3848385
467.04135	6103238
467.04672	37935304
467.062	7375055
467.0652	3071184
467.07773	3956949
467.0831	30841046
467.0984	3509469
467.10184	2194655
467.11431	3087588
467.11949	19863782
467.13801	1999597
467.15583	13015284
467.1923	5146884
468.05009	7879264
468.06544	2276966
468.07811	2447979
468.08648	7303791
468.12283	5358206
468.15855	2047628
469.00481	6648804
469.00833	4040677
